path,size,gen,kind,instr_valid,instr_total,fm,midi,syn02,syn04,syn08,track_count,max_fill,row_count,tempo,speed
../MEDIT/ALL.LAP,92334,4,Adlib,52,52,52,0,0,52,0,11,11,83,2,6
../MEDIT/CAVES.SCC,3518,8,MIDI,3,3,0,3,0,0,3,3,3,6,33,6
../MEDIT/GUITAR.SCC,5262,8,Mixed,15,15,8,7,0,8,7,3,3,4,33,6
../MEDIT/SAVAGE.SCC,2832,8,MIDI,5,5,0,5,0,0,5,4,4,4,33,6
../MEDIT/TEST.LAP,6046,0,Adlib,6,6,6,0,0,6,0,6,6,10,33,6
../MEDIT/ULTIMISH.SCC,3434,8,MIDI,5,5,0,5,0,0,5,4,4,5,33,6
../MEDIT/UNTITLED.MED,5121,129,Adlib,1,1,1,0,0,0,0,1,1,1,33,6
../MEDIT/WC2FUNE.SCC,2650,8,MIDI,6,6,0,6,0,0,6,4,4,4,33,6
../MEDIT/ADLMUSIC/OD1.ALB,1684,0,Adlib,8,8,8,0,8,0,0,7,7,1,33,6
../MEDIT/ADLMUSIC/SHUTIT/BAZ.ALB,11158,0,Adlib,14,14,14,0,9,4,0,8,8,14,50,6
../MEDIT/ADLMUSIC/SHUTIT/INGAME2.ADL,10994,0,Adlib,12,12,12,0,7,5,0,14,14,22,50,5
../MEDIT/ADLMUSIC/SHUTIT/INGAME3.ADL,11686,0,Adlib,8,8,8,0,8,0,0,14,14,20,50,8
../MEDIT/ADLMUSIC/SHUTIT/INGAME4.ADL,20026,0,Adlib,12,12,12,0,9,3,0,7,7,21,50,6
../MEDIT/ADLMUSIC/SHUTIT/INGAME6.ADL,16184,0,Mixed,13,13,12,1,12,1,0,8,8,15,50,7
../MEDIT/ADLMUSIC/SHUTIT/TITLE.ADL,6604,0,Adlib,11,11,11,0,7,4,0,7,7,4,50,6
../MEDIT/ADLMUSIC/TFX/COLUMBIA.ADL,9496,2,Adlib,13,18,13,0,13,0,0,14,14,15,50,6
../MEDIT/ADLMUSIC/TFX/DEATH.RLD,7092,2,Adlib,19,19,19,0,17,2,0,16,16,14,50,6
../MEDIT/ADLMUSIC/TFX/ENROL.ADL,9842,2,Mixed,22,22,20,2,9,11,2,8,7,10,50,6
../MEDIT/ADLMUSIC/TFX/FXONLY.ADL,8294,2,Adlib,31,63,31,0,22,9,0,10,10,33,33,6
../MEDIT/ADLMUSIC/TFX/INTER.ADL,8462,2,Adlib,12,14,12,0,7,5,0,7,7,18,50,6
../MEDIT/ADLMUSIC/TFX/INTRO.ADL,32262,2,Adlib,27,46,27,0,27,0,0,8,8,35,50,4
../MEDIT/ADLMUSIC/TFX/INTRO.RLD,39056,2,Adlib,35,35,35,0,8,27,0,8,8,34,50,4
../MEDIT/ADLMUSIC/TFX/INTRO.SCC,34722,2,Mixed,25,40,15,10,15,0,10,8,8,35,50,4
../MEDIT/ADLMUSIC/TFX/LIBYA.RLD,16138,2,Adlib,13,13,13,0,11,2,0,7,7,16,50,6
../MEDIT/ADLMUSIC/TFX/NEWS.ADL,6488,2,Adlib,10,15,10,0,10,0,0,9,9,10,50,6
../MEDIT/ADLMUSIC/TFX/OCEAN.RLD,4160,2,Adlib,7,7,7,0,7,0,0,12,12,10,50,4
../MEDIT/ADLMUSIC/TFX/SOMALIA.RLD,8556,2,Adlib,10,10,10,0,10,0,0,10,10,20,50,6
../MEDIT/ADLMUSIC/TFX/YUGO.RLD,13014,2,Adlib,16,26,16,0,14,2,0,16,16,25,50,8
../MEDIT/ADLMUSIC/TFX/FLYING/1UNSUC.ADL,16006,2,Mixed,16,22,13,3,12,1,3,7,7,10,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/2SUCC.ADL,20774,2,Mixed,45,45,41,4,10,31,4,8,8,10,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/3-9TUNES.ADL,18312,2,Adlib,45,45,45,0,20,25,0,8,8,9,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/AIRBATLE.ADL,18218,2,Mixed,18,38,17,1,12,5,1,8,8,13,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/AIRSUPER.ADL,22710,2,Mixed,18,18,14,4,14,0,4,8,8,21,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/ANTIARMR.ADL,15484,2,Mixed,17,17,15,2,12,3,2,8,8,24,50,7
../MEDIT/ADLMUSIC/TFX/FLYING/CLOSEAIR.ADL,13016,2,Mixed,15,15,12,3,12,0,3,8,8,27,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/DEFSUPP.ADL,12492,2,Mixed,16,34,15,1,10,5,1,8,8,32,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/INTERCEP.ADL,26294,2,Mixed,34,44,32,2,13,19,2,8,8,16,50,7
../MEDIT/ADLMUSIC/TFX/FLYING/INTERDCT.ADL,20498,2,Mixed,24,24,22,2,15,7,2,14,14,21,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/LANDBATL.ADL,18412,2,Adlib,28,44,28,0,11,17,0,8,8,13,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/MARITIME.ADL,31780,2,Mixed,28,42,25,3,15,10,3,16,16,27,50,6
../MEDIT/ADLMUSIC/TFX/FLYING/SEABATLE.ADL,21798,2,Mixed,26,43,24,2,9,15,2,10,10,21,50,6
../MEDIT/INFERNO/TITLE.SCC,24712,8,Mixed,16,16,1,15,0,1,15,16,16,26,50,6
../MEDIT/INFERNO/ADLIB/@9K16M08.SAV,7454,2,Adlib,8,8,8,0,7,1,0,6,5,9,33,6
../MEDIT/INFERNO/ADLIB/@9KF6604.SAV,12674,2,Adlib,17,17,17,0,15,2,0,7,7,31,50,6
../MEDIT/INFERNO/ADLIB/BADNEWS.ADL,3662,2,Adlib,8,8,8,0,8,0,0,6,6,6,33,6
../MEDIT/INFERNO/ADLIB/DEATH.ADL,7842,2,Mixed,9,9,7,2,7,0,2,8,8,6,50,6
../MEDIT/INFERNO/ADLIB/DRAMATIC.ADL,2772,2,Adlib,5,5,5,0,5,0,0,7,7,8,33,6
../MEDIT/INFERNO/ADLIB/HAPFINAL.ADL,7226,2,Adlib,8,8,8,0,8,0,0,6,5,9,33,6
../MEDIT/INFERNO/ADLIB/HAPPY.ADL,8366,2,Adlib,12,12,12,0,10,2,0,8,7,15,33,6
../MEDIT/INFERNO/ADLIB/HUMAN.ADL,14662,2,Adlib,13,13,13,0,13,0,0,7,7,23,33,6
../MEDIT/INFERNO/ADLIB/HUMATMOS.ADL,14756,2,Adlib,14,14,14,0,11,3,0,8,8,9,50,6
../MEDIT/INFERNO/ADLIB/MOON.ADL,13796,2,Adlib,15,21,15,0,15,0,0,8,8,22,50,8
../MEDIT/INFERNO/ADLIB/PLANET1.ADL,26580,2,Adlib,21,21,21,0,21,0,0,16,16,39,50,6
../MEDIT/INFERNO/ADLIB/PLANET2.ADL,44362,2,Mixed,15,15,14,1,14,0,1,8,8,28,50,7
../MEDIT/INFERNO/ADLIB/REXATMOS.ADL,14966,2,Adlib,15,15,15,0,15,0,0,7,7,24,50,6
../MEDIT/INFERNO/ADLIB/REXXON.ADL,17816,2,Adlib,16,16,16,0,16,0,0,7,7,24,50,6
../MEDIT/INFERNO/ADLIB/SADFINAL.ADL,14192,2,Adlib,32,32,32,0,4,28,0,4,4,7,50,6
../MEDIT/INFERNO/ADLIB/SPACE1.ADL,24228,2,Adlib,20,22,20,0,20,0,0,9,9,53,54,4
../MEDIT/INFERNO/ADLIB/SPACE2.ADL,12674,2,Adlib,17,17,17,0,15,2,0,7,7,31,50,6
../MEDIT/INFERNO/ADLIB/TAKEOFF.ADL,11216,2,Adlib,18,22,18,0,12,6,0,8,8,8,50,7
../MEDIT/INFERNO/ADLIB/TITLE.ADL,22900,2,Adlib,30,30,30,0,24,6,0,16,16,25,50,6
../MEDIT/INFERNO/LAPC1/@9CU760U.SAV,9082,4,Adlib,8,8,8,0,0,8,0,6,6,9,33,6
../MEDIT/INFERNO/LAPC1/BADNEWS.LAP,5566,4,Adlib,8,8,8,0,0,8,0,6,6,6,33,6
../MEDIT/INFERNO/LAPC1/DEATH.LAP,10010,4,Mixed,11,11,9,2,0,9,2,8,8,6,50,6
../MEDIT/INFERNO/LAPC1/DRAMATIC.LAP,3784,4,Adlib,5,5,5,0,0,5,0,7,7,8,33,6
../MEDIT/INFERNO/LAPC1/HAPFINAL.LAP,9082,4,Adlib,8,8,8,0,0,8,0,6,6,9,33,6
../MEDIT/INFERNO/LAPC1/HAPPY.LAP,10240,4,Adlib,12,12,12,0,0,12,0,7,7,15,33,6
../MEDIT/INFERNO/LAPC1/HUMAN.LAP,18456,4,Adlib,14,14,14,0,2,12,0,7,7,23,33,6
../MEDIT/INFERNO/LAPC1/HUMATMOS.LAP,16808,4,Adlib,14,14,14,0,2,12,0,8,8,9,50,6
../MEDIT/INFERNO/LAPC1/MOON.LAP,17456,4,Adlib,15,21,15,0,0,15,0,8,8,22,50,8
../MEDIT/INFERNO/LAPC1/PLANET1.LAP,31928,4,Adlib,21,21,21,0,0,21,0,16,16,39,50,6
../MEDIT/INFERNO/LAPC1/PLANET2.LAP,47662,4,Adlib,17,22,17,0,2,15,0,8,8,28,50,7
../MEDIT/INFERNO/LAPC1/REXATMOS.LAP,23400,4,Adlib,32,32,32,0,0,32,0,7,7,24,50,6
../MEDIT/INFERNO/LAPC1/REXXON.LAP,26168,4,Adlib,32,32,32,0,0,32,0,7,7,24,50,6
../MEDIT/INFERNO/LAPC1/SADFINAL.LAP,15104,4,Adlib,32,32,32,0,0,32,0,4,4,7,50,6
../MEDIT/INFERNO/LAPC1/SPACE1.RLD,28900,4,Adlib,20,22,20,0,0,20,0,9,9,54,54,4
../MEDIT/INFERNO/LAPC1/SPACE2.LAP,16110,4,Adlib,17,17,17,0,0,17,0,7,7,31,50,6
../MEDIT/INFERNO/LAPC1/TAKEOFF.LAP,12172,4,Adlib,12,12,12,0,0,12,0,8,8,8,50,7
../MEDIT/INFERNO/LAPC1/TITLE.LAP,29940,4,Adlib,30,30,30,0,0,30,0,16,16,25,50,6
../MEDIT/INFERNO/SCC1/BADNEWS.SCC,6282,8,Mixed,8,8,3,5,0,3,5,8,8,7,33,6
../MEDIT/INFERNO/SCC1/DEATH.SCC,8786,8,MIDI,9,9,0,9,0,0,9,8,8,7,50,6
